"1","2022-09-12T21:50:18.803287600","Сделать уборку","AVERAGE","25.10.22","Alex"
"2","2022-09-12T21:50:18.804286","Помыть посуду","LOW","15.12.22","Alex"
"3","2022-09-12T21:50:18.804286","Захватить мир","IMMEDIATE","31.10.22","Alex"
"1","2022-09-12T21:51:19.079974300","Сделать уборку","AVERAGE","25.10.22","Alex"
"2","2022-09-12T21:51:19.081974500","Помыть посуду","LOW","15.12.22","Alex"
"3","2022-09-12T21:51:19.081974500","Захватить мир","IMMEDIATE","31.10.22","Alex"
"1","2022-09-13T06:09:21.662469300","Сделать уборку","AVERAGE","25.10.22","Alex"
"2","2022-09-13T06:09:21.663469200","Помыть посуду","LOW","15.12.22","Alex"
"3","2022-09-13T06:09:21.663469200","Захватить мир","IMMEDIATE","31.10.22","Alex"
"1","2022-09-13T06:09:21.662469300","Сделать уборку","AVERAGE","25.10.22","Alex"
"2","2022-09-13T06:09:21.663469200","Помыть посуду","LOW","15.12.22","Alex"
"3","2022-09-13T06:09:21.663469200","Захватить мир","IMMEDIATE","31.10.22","Alex"
"1","2022-09-13T06:17:51.604130400","Сделать уборку","AVERAGE","25.10.22","Alex"
"2","2022-09-13T06:17:51.606134100","Помыть посуду","LOW","15.12.22","Alex"
"3","2022-09-13T06:17:51.606134100","Захватить мир","IMMEDIATE","31.10.22","Alex"
"1","2022-09-13T06:57:04.452059","Сделать уборку","AVERAGE","25.10.22","Alex"
"2","2022-09-13T06:57:04.454057","Помыть посуду","LOW","15.12.22","Alex"
"3","2022-09-13T06:57:04.454057","Захватить мир","IMMEDIATE","31.10.22","Alex"
"4","2022-09-13T06:57:05.889802","пїЅпїЅпїЅпїЅпїЅпїЅпїЅ пїЅпїЅпїЅпїЅпїЅпїЅ","AVERAGE","25.10.22","Alex"
"5","2022-09-13T06:57:05.889802","пїЅпїЅпїЅпїЅпїЅпїЅ пїЅпїЅпїЅпїЅпїЅпїЅ","LOW","15.12.22","Alex"
"6","2022-09-13T06:57:05.889802","пїЅпїЅпїЅпїЅпїЅпїЅпїЅпїЅпїЅ пїЅпїЅпїЅ","IMMEDIATE","31.10.22","Alex"
